date,open,max_v,min_v,close,volume,crypto
2021-02-17,"1.473,63","1.539,45","1.436,23","1.534,56",29.849.536.429,ethereum
2021-02-16,"1.466,30","1.501,99","1.428,07","1.473,39",28.349.438.535,ethereum
2021-02-15,"1.488,94","1.511,75","1.388,21","1.467,00",32.109.240.182,ethereum
2021-02-14,"1.496,95","1.524,82","1.476,77","1.489,28",25.938.747.431,ethereum
2021-02-13,"1.521,42","1.544,16","1.460,84","1.496,73",29.173.312.306,ethereum
2021-02-12,"1.470,23","1.535,75","1.438,83","1.521,05",31.274.384.576,ethereum
2021-02-11,"1.438,86","1.487,38","1.410,37","1.470,49",29.694.607.791,ethereum
2021-02-10,"1.459,22","1.506,32","1.390,45","1.439,29",34.587.811.712,ethereum
2021-02-09,"1.449,44","1.500,76","1.419,05","1.459,21",36.463.724.032,ethereum
2021-02-08,"1.339,27","1.469,78","1.305,92","1.449,19",39.836.273.780,ethereum
2021-02-07,"1.392,31","1.402,63","1.246,36","1.339,76",33.106.998.753,ethereum
2021-02-06,"1.425,70","1.442,70","1.368,63","1.392,51",33.092.586.606,ethereum
2021-02-05,"1.332,79","1.460,47","1.332,79","1.426,41",33.288.557.271,ethereum
2021-02-04,"1.379,55","1.403,35","1.304,58","1.332,76",37.102.998.556,ethereum
2021-02-03,"1.258,45","1.379,34","1.253,45","1.379,34",34.775.571.158,ethereum
2021-02-02,"1.134,84","1.281,18","1.127,90","1.258,80",37.748.632.993,ethereum
2021-02-01,"1.084,63","1.138,43","1.050,72","1.134,46",24.205.422.458,ethereum
2021-01-31,"1.134,36","1.136,08","1.061,59","1.084,73",20.786.584.717,ethereum
2021-01-30,"1.138,79","1.155,43","1.094,57","1.133,77",25.224.781.196,ethereum
2021-01-29,"1.129,50","1.175,66","1.068,08","1.139,03",44.169.764.087,ethereum
2021-01-28,"1.033,86","1.092,64","1.013,98","1.070,94",32.827.227.182,ethereum
2021-01-27,"1.116,69","1.124,61","1.007,44","1.035,44",32.549.440.066,ethereum
2021-01-26,"1.090,14","1.133,01","1.030,88","1.115,64",34.177.095.683,ethereum
2021-01-25,"1.142,94","1.206,05","1.074,84","1.090,69",35.877.594.249,ethereum
2021-01-24,"1.011,30","1.146,54","1.006,43","1.143,74",29.931.469.516,ethereum
2021-01-23,"1.014,84","1.044,93","986,40","1.011,12",22.386.049.923,ethereum
2021-01-22,"919,72","1.045,04","860,41","1.015,87",36.081.462.347,ethereum
2021-01-21,"1.141,33","1.141,33","902,86","921,92",37.756.164.501,ethereum
2021-01-20,"1.132,90","1.157,56","1.026,27","1.140,99",38.617.597.610,ethereum
2021-01-19,"1.041,13","1.180,93","1.037,73","1.134,59",38.879.161.883,ethereum
2021-01-18,"1.019,61","1.042,89","983,48","1.041,00",21.376.311.037,ethereum
2021-01-17,"1.021,11","1.047,75","972,22","1.019,50",24.247.360.635,ethereum
2021-01-16,"969,78","1.067,97","958,34","1.021,18",26.755.450.645,ethereum
2021-01-15,"1.005,60","1.028,71","901,77","970,10",29.779.416.770,ethereum
2021-01-14,"929,32","1.024,28","900,03","1.002,78",27.496.916.522,ethereum
2021-01-13,"854,93","933,08","814,67","929,74",24.757.415.808,ethereum
2021-01-12,"895,12","945,14","833,16","854,68",30.711.753.256,ethereum
2021-01-11,"1.035,20","1.035,20","760,54","896,45",49.942.539.602,ethereum
2021-01-10,"1.047,75","1.102,60","977,46","1.035,71",33.327.497.414,ethereum
2021-01-09,"1.001,01","1.066,56","967,09","1.047,92",27.184.547.253,ethereum
2021-01-08,"999,23","1.039,96","877,73","1.001,39",36.265.710.874,ethereum
2021-01-07,"979,11","1.045,34","948,69","998,99",32.983.546.570,ethereum
2021-01-06,"895,23","980,20","866,37","978,32",36.227.715.953,ethereum
2021-01-05,"850,02","921,52","804,11","894,42",33.773.157.696,ethereum
2021-01-04,"797,60","941,32","742,10","848,99",46.476.694.064,ethereum
2021-01-03,"638,25","821,88","635,82","796,33",36.898.177.858,ethereum
2021-04-12,"577,22","588,12","563,67","573,99",2.469.639.936,bitcoincash
2021-04-11,"568,76","603,81","567,63","585,58",3.219.802.268,bitcoincash
2021-04-10,"533,96","576,01","529,65","566,30",2.763.495.037,bitcoincash
2021-04-09,"543,49","546,82","530,37","534,17",2.184.163.400,bitcoincash
2021-04-08,"521,43","543,49","516,95","543,47",2.853.692.444,bitcoincash
2021-04-07,"562,04","587,24","506,10","521,04",5.538.567.412,bitcoincash
2021-04-06,"549,27","573,07","528,60","562,37",4.719.904.957,bitcoincash
